# {"t_start": 1782311387.5549908, "env_id": "PctContinuous-v0"} 
r,l,t
11.466397,83,8854.206779
12.026395,85,8869.960074
12.624232,90,8886.808723
12.008968,86,8902.061191
11.962277,88,8917.214644
12.320015,89,8932.984981
12.348633,90,8949.099175
11.74491,86,8964.825312
11.3319,80,8979.068847
12.148205,90,8994.959518
10.373353,71,9007.413892
12.012494,91,9023.576821
10.828386,79,9037.721007
12.628622,92,9054.756227
11.817142,84,9070.28404
12.304253,91,9085.873375
11.042103,87,9101.708058
11.317741,86,9117.510342
11.758131,87,9133.272562
12.560081,90,9149.521381
11.17935,79,9164.543768
12.186777,91,9180.688826
10.839902,78,9194.639719
11.128719,83,9209.517356
11.76538,86,9225.197708
12.408628,94,9241.918805
11.869651,85,9257.146987
11.72627,83,9271.716279
10.19474,74,9284.708898
12.366283,90,9301.765542
10.819977,75,9315.48324
11.179253,80,9329.330677
11.445883,77,9343.305233
11.009873,82,9358.207889
11.108949,77,9372.028006
11.445557,81,9386.575976
11.875161,85,9401.787002
11.092901,77,9415.54811
11.762039,87,9431.900331
11.509039,82,9445.814646
11.430043,84,9461.005401
12.219691,91,9478.227389
11.060666,82,9493.463175
11.654556,93,9509.999152
12.391664,84,9525.450808
11.167872,82,9540.338109
11.054755,80,9555.728728
11.547185,83,9570.816732
11.051815,80,9585.539205
11.566698,86,9601.553404
11.813221,86,9617.319653
10.815216,79,9631.558467
11.014168,82,9646.3019
11.523803,85,9662.365293
12.264195,87,9678.78183
11.035989,81,9694.203007
10.141933,78,9708.933548
11.923536,87,9724.437377
10.745979,79,9738.703949
11.278365,86,9755.014263
11.858332,88,9771.868016
11.971875,92,9788.569698
11.827371,87,9804.385968
11.389731,82,9818.931842
12.425345,87,9834.989427
12.081109,87,9850.680785
11.351501,89,9866.655829
11.439401,87,9882.049559
12.023924,86,9897.992959
11.431448,80,9912.135494
11.347319,84,9926.404798
11.073679,79,9939.96367
11.704438,87,9956.319964
12.183607,88,9972.035689
12.614121,91,9988.277643
12.43779,91,10003.91412
10.831335,78,10017.970898
11.694633,89,10034.886305
12.24029,89,10050.53468
11.424879,87,10066.628344
11.898355,89,10083.43415
11.459456,83,10099.281318
11.890592,85,10114.605104
12.457292,90,10130.458561
10.588865,76,10144.646804
10.760822,76,10158.449767
12.120735,86,10173.730203
11.255277,80,10188.314171
10.545532,76,10201.997948
11.599553,87,10217.234122
12.422539,91,10233.503277
11.467284,86,10249.679854
12.061498,91,10266.451294
12.120949,89,10282.617839
11.623298,83,10297.838566
11.400447,83,10313.008622
10.767692,80,10327.623534
11.094243,80,10342.327614
10.635567,77,10357.257628
10.960195,80,10371.034342
10.922916,81,10385.763753
11.467724,79,10399.847416
10.827664,77,10414.204896
11.242012,85,10429.896631
11.151992,78,10444.223912
12.066764,88,10460.078196
11.844884,83,10475.450994
11.264243,81,10489.198948
11.796061,83,10504.119652
11.223917,83,10520.020691
10.155899,73,10533.632534
12.441344,92,10550.481347
11.54996,86,10566.639364
12.291741,95,10584.20357
11.90145,88,10600.402659
12.254729,89,10616.341678
11.842792,84,10631.814513
11.63451,87,10647.865965
11.592663,85,10663.076009
11.342613,81,10677.959266
12.281245,92,10694.714181
11.70467,86,10711.06963
11.957344,90,10728.583689
10.782124,76,10742.375799
11.223278,79,10757.118596
11.720517,90,10774.257673
10.662674,77,10788.63769
12.426472,88,10804.409405
11.228121,81,10819.860927
10.96628,80,10834.324892
12.336134,88,10850.598666
11.218836,84,10865.990702
11.946527,89,10882.310082
12.093374,90,10899.051304
12.105369,89,10915.379464
10.948531,80,10930.113994
10.578975,78,10944.543237
11.801441,85,10960.278432
12.056128,88,10975.690913
10.246955,74,10988.934515
11.608472,84,11004.006531
11.756479,83,11018.451048
12.764137,95,11036.108621
12.313911,93,11053.037675
12.227428,89,11069.130509
11.398163,82,11084.051332
12.10886,87,11100.071031
12.246535,87,11116.331381
10.803698,81,11132.078405
12.609124,93,11149.753011
11.483327,82,11164.829577
12.929831,96,11182.95959
11.174848,84,11198.677072
11.044195,83,11214.064486
10.004859,71,11227.076338
11.697719,86,11242.602845
11.040563,79,11256.966996
12.962889,93,11274.313194
11.249774,82,11289.260183
11.019808,80,11303.763407
11.712401,80,11318.300317
12.159003,88,11334.055153
11.403657,88,11350.206371
10.96809,82,11365.91946
11.755993,85,11382.259592
11.986282,87,11397.840505
11.748077,88,11414.101504
11.817568,88,11430.772589
11.085486,79,11445.443528
12.226386,90,11462.223558
11.740089,83,11477.944748
12.92721,98,11496.111186
11.70639,86,11512.474804
12.215451,92,11529.667355
12.379397,93,11546.810054
12.684011,94,11563.878573
12.229752,89,11580.014696
11.025432,77,11593.799903
12.059969,90,11610.708419
12.296013,90,11628.674308
11.617707,82,11644.145119
10.836534,78,11658.84747
11.679364,83,11673.806906
11.685489,89,11690.679944
12.908672,93,11708.206149
11.720436,84,11723.614663
11.483057,86,11739.388734
10.781033,78,11753.396
10.906127,76,11767.058438
11.642831,82,11781.639811
11.295508,83,11797.089966
10.574068,74,11810.433642
10.823968,78,11825.132994
11.25047,87,11841.059365
11.645275,83,11856.010467
11.579091,78,11870.292925
11.505408,83,11885.798978
12.053055,88,11902.35343
10.581714,71,11915.154681
12.856426,92,11932.4206
12.181249,90,11949.013824
12.22794,92,11966.27178
12.198123,90,11982.796157
11.761577,87,11998.563726
12.243944,90,12014.682436
12.259312,92,12031.631923
